"ref"	"value"	"Distributor"	"Distributor #"	"Unit Price"
"BT1"	"BATTERY"	"Digikey"	"SBH321AS-ND"	1.78
"C1"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C2"	"22pF"	"Digikey"	"BC2344-ND"	0.28
"C3"	"22pF"	"Digikey"	"BC2344-ND"	0.28
"C5"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C6"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C7"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C8"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C9"	".01uF"	"Digikey"	"478-4862-ND"	0.28
"C10"	"10uF"	"Digikey"	"399-6100-ND"	0.16
"C11"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C12"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C13"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"C14"	".1uF"	"Digikey"	"478-5741-ND"	0.24
"D1"	"3V6"	"Digikey"	"568-7951-1-ND"	0.14
"D2"	"3V6"	"Digikey"	"568-7951-1-ND"	0.14
"D3"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D4"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D5"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D6"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D7"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D8"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D9"	"LED"	"Digikey"	"754-1264-ND"	0.15
"D10"	"LED"	"Digikey"	"754-1264-ND"	0.15
"IC1"	"ATMEGA328P"	"Digikey"	"ATMEGA328P-PU-ND"	3.16
"J1"	"USB B PTH"	"Digikey"	"A98573-ND"	1.55
"J2"	"AVR-ISP-6 (2x3 .1Ó header)"	"stock?"	"stock?"	"stock?"
"R1"	"2.2K"	"Digikey"	"S2.2KQTR-ND"	0.00494
"R2"	68	"Digikey"	"S68QCT-ND"	0.08
"R3"	68	"Digikey"	"S68QCT-ND"	0.08
"R4"	"47K"	"Digikey"	"S47KQTR-ND"	0.00494
"R8"	"10K"	"Digikey"	"S10KQTR-ND"	0.00494
"R9"	"100k"	"Digikey"	"S100KQTR-ND"	0.00494
"R10"	"LDR"	"Digikey"	"PDV-P9008-ND"	1.51
"R11"	"100K"	"Digikey"	"S100KQTR-ND"	0.00494
"R12"	"1K"	"Digikey"	"S1KQTR-ND"	0.00494
"R13"	"1K"	"Digikey"	"S1KQTR-ND"	0.00494
"R14"	"1.5k"	"Digikey"	"S1.5KQTR-ND"	0.00494
"R15"	4.7	"Digikey"	"S4.7QCT-ND"	0.055
"R16"	4.7	"Digikey"	"S4.7QCT-ND"	0.055
"RV1"	"1K"	"Digikey"	"3352T-1-102LF"	1.58
"SP1"	"SPEAKER"	"Digikey"	"102-2502-ND"	2.18
"SW2"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW3"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW4"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW5"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW6"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW7"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW8"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW9"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW10"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"SW11"	"SWITCH_PUSH_CW"	"Digikey"	"CKN9140-ND"	0.47
"U1"	"MCP4921"	"Digikey"	"MCP4921-E/P-ND"	2.36
"U2"	"TDA2822M"	"Digikey"	"497-8863-5-ND"	1.62
"X1"	"16MHz"	"Digikey"	"631-1108-ND"	0.53
"STANDOFFS"	"STANDOFF RD 4-40THR .750""L ALUM"	"Digikey"	"3481K-ND"	0.45
				
"Tot"	26.36952			
